SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
0,-2.602526,51.4558161,-2.602526,51.4558162,1549879525428
1,-2.602526,51.4558161,-2.602526,51.4558162,1549879525472
2,-2.602526,51.4558161,-2.602526,51.4558162,1549879525509
3,-2.602526,51.4558161,-2.602526,51.4558162,1549879525560
4,-2.602526,51.4558161,-2.602526,51.4558162,1549879525601
5,-2.602526,51.4558161,-2.602526,51.4558162,1549879525641
6,-2.602526,51.4558161,-2.602526,51.4558162,1549879525672
7,-2.602526,51.4558161,-2.602526,51.4558162,1549879525710
8,-2.602526,51.4558161,-2.602526,51.4558162,1549879525743
9,-2.602526,51.4558161,-2.602526,51.4558162,1549879525787
10,-2.602526,51.4558161,-2.602526,51.4558162,1549879525821
11,-2.602526,51.4558161,-2.602526,51.4558162,1549879525856
12,-2.602526,51.4558161,-2.602526,51.4558162,1549879525895
13,-2.602526,51.4558161,-2.602526,51.4558162,1549879525936
14,-2.602526,51.4558161,-2.602526,51.4558162,1549879525970
15,-2.602526,51.4558161,-2.602526,51.4558162,1549879526011
16,-2.602526,51.4558161,-2.602526,51.4558162,1549879526049
17,-2.602526,51.4558161,-2.602526,51.4558162,1549879526103
18,-2.602526,51.4558161,-2.602526,51.4558162,1549879526132
19,-2.602526,51.4558161,-2.602526,51.4558162,1549879526157
20,-2.602526,51.4558161,-2.602526,51.4558162,1549879526195
21,-2.602526,51.4558161,-2.602526,51.4558162,1549879526227
22,-2.602526,51.4558161,-2.602526,51.4558162,1549879526250
23,-2.602526,51.4558161,-2.602526,51.4558162,1549879526283
24,-2.602526,51.4558161,-2.602526,51.4558162,1549879526315
25,-2.602526,51.4558161,-2.602526,51.4558162,1549879526348
26,-2.602526,51.4558161,-2.602526,51.4558162,1549879526384
27,-2.602526,51.4558161,-2.602526,51.4558162,1549879526418
28,-2.602526,51.4558161,-2.602526,51.4558162,1549879526447
29,-2.602526,51.4558161,-2.602526,51.4558162,1549879526483
30,-2.602526,51.4558161,-2.602526,51.4558162,1549879526517
31,-2.602526,51.4558161,-2.602526,51.4558162,1549879526546
32,-2.602526,51.4558161,-2.602526,51.4558162,1549879526577
33,-2.602526,51.4558161,-2.602526,51.4558162,1549879526612
34,-2.602526,51.4558161,-2.602526,51.4558162,1549879526636
35,-2.602526,51.4558161,-2.602526,51.4558162,1549879526671
36,-2.602526,51.4558161,-2.602526,51.4558162,1549879526705
37,-2.602526,51.4558161,-2.602526,51.4558162,1549879526745
38,-2.602526,51.4558161,-2.602526,51.4558162,1549879526774
39,-2.602526,51.4558161,-2.602526,51.4558162,1549879526806
40,-2.602526,51.4558161,-2.602526,51.4558162,1549879526842
41,-2.602526,51.4558161,-2.602526,51.4558162,1549879526876
42,-2.602526,51.4558161,-2.602526,51.4558162,1549879526909
43,-2.602526,51.4558161,-2.602526,51.4558162,1549879526935
44,-2.602526,51.4558161,-2.602526,51.4558162,1549879526958
45,-2.602526,51.4558161,-2.602526,51.4558162,1549879526988
46,-2.602526,51.4558161,-2.602526,51.4558162,1549879527012
47,-2.602526,51.4558161,-2.602526,51.4558162,1549879527046
48,-2.602526,51.4558161,-2.602526,51.4558162,1549879527078
49,-2.602526,51.4558161,-2.602526,51.4558162,1549879527110
50,-2.602526,51.4558161,-2.602526,51.4558162,1549879527135
51,-2.602526,51.4558161,-2.602526,51.4558162,1549879527159
52,-2.602526,51.4558161,-2.602526,51.4558162,1549879527193
53,-2.602526,51.4558161,-2.602526,51.4558162,1549879527231
54,-2.602526,51.4558161,-2.602526,51.4558162,1549879527252
55,-2.602526,51.4558161,-2.602526,51.4558162,1549879527289
56,-2.602526,51.4558161,-2.602526,51.4558162,1549879527319
57,-2.602526,51.4558161,-2.602526,51.4558162,1549879527353
58,-2.602526,51.4558161,-2.602526,51.4558162,1549879527386
59,-2.602526,51.4558161,-2.602526,51.4558162,1549879527419
60,-2.602526,51.4558161,-2.602526,51.4558162,1549879527443
61,-2.602526,51.4558161,-2.602526,51.4558162,1549879527474
62,-2.602526,51.4558161,-2.602526,51.4558162,1549879527498
63,-2.602526,51.4558161,-2.602526,51.4558162,1549879527526
64,-2.602526,51.4558161,-2.602526,51.4558162,1549879527551
65,-2.602526,51.4558161,-2.602526,51.4558162,1549879527582
66,-2.602526,51.4558161,-2.602526,51.4558162,1549879527615
67,-2.602526,51.4558161,-2.602526,51.4558162,1549879527646
68,-2.602526,51.4558161,-2.602526,51.4558162,1549879527679
69,-2.602526,51.4558161,-2.602526,51.4558162,1549879527713
70,-2.602526,51.4558161,-2.602526,51.4558162,1549879527744
71,-2.602526,51.4558161,-2.602526,51.4558162,1549879527774
72,-2.602526,51.4558161,-2.602526,51.4558162,1549879527803
73,-2.602526,51.4558161,-2.602526,51.4558162,1549879527840
74,-2.602526,51.4558161,-2.602526,51.4558162,1549879527869
75,-2.602526,51.4558161,-2.602526,51.4558162,1549879527894
76,-2.602526,51.4558161,-2.602526,51.4558162,1549879527927
77,-2.602526,51.4558161,-2.602526,51.4558162,1549879527947
78,-2.602526,51.4558161,-2.602526,51.4558162,1549879527984
79,-2.602526,51.4558161,-2.602526,51.4558162,1549879528013
80,-2.602526,51.4558161,-2.602526,51.4558162,1549879528042
81,-2.602526,51.4558161,-2.602526,51.4558162,1549879528073
82,-2.602526,51.4558161,-2.602526,51.4558162,1549879528106
83,-2.602526,51.4558161,-2.602526,51.4558162,1549879528130
84,-2.602526,51.4558161,-2.602526,51.4558162,1549879528157
85,-2.602526,51.4558161,-2.602526,51.4558162,1549879528188
86,-2.602526,51.4558161,-2.602526,51.4558162,1549879528216
87,-2.602526,51.4558161,-2.602526,51.4558162,1549879528246
88,-2.602526,51.4558161,-2.602526,51.4558162,1549879528280
89,-2.602526,51.4558161,-2.602526,51.4558162,1549879528304
90,-2.602526,51.4558161,-2.602526,51.4558162,1549879528336
91,-2.602526,51.4558161,-2.602526,51.4558162,1549879528361
92,-2.602526,51.4558161,-2.602526,51.4558162,1549879528395
93,-2.602526,51.4558161,-2.602526,51.4558162,1549879528427
94,-2.602526,51.4558161,-2.602526,51.4558162,1549879528452
95,-2.602526,51.4558161,-2.602526,51.4558162,1549879528482
96,-2.602526,51.4558161,-2.602526,51.4558162,1549879528517
97,-2.602526,51.4558161,-2.602526,51.4558162,1549879528552
98,-2.602526,51.4558161,-2.602526,51.4558162,1549879528587
99,-2.602526,51.4558161,-2.602526,51.4558162,1549879528618
100,-2.602526,51.4558161,-2.602526,51.4558162,1549879528649
101,-2.602526,51.4558161,-2.602526,51.4558162,1549879528674
102,-2.602526,51.4558161,-2.602526,51.4558162,1549879528698
103,-2.602526,51.4558161,-2.602526,51.4558162,1549879528722
104,-2.602526,51.4558161,-2.602526,51.4558162,1549879528748
105,-2.602526,51.4558161,-2.602526,51.4558162,1549879528775
106,-2.602526,51.4558161,-2.602526,51.4558162,1549879528808
107,-2.602526,51.4558161,-2.602526,51.4558162,1549879528834
108,-2.602526,51.4558161,-2.602526,51.4558162,1549879528869
109,-2.602526,51.4558161,-2.602526,51.4558162,1549879528902
110,-2.602526,51.4558161,-2.602526,51.4558162,1549879528921
111,-2.602526,51.4558161,-2.602526,51.4558162,1549879528941
112,-2.602526,51.4558161,-2.602526,51.4558162,1549879528965
113,-2.602526,51.4558161,-2.602526,51.4558162,1549879528995
114,-2.602526,51.4558161,-2.602526,51.4558162,1549879529026
115,-2.602526,51.4558161,-2.602526,51.4558162,1549879529057
116,-2.602526,51.4558161,-2.602526,51.4558162,1549879529090
117,-2.602526,51.4558161,-2.602526,51.4558162,1549879529116
118,-2.602526,51.4558161,-2.602526,51.4558162,1549879529150
119,-2.602526,51.4558161,-2.602526,51.4558162,1549879529181
120,-2.602526,51.4558161,-2.602526,51.4558162,1549879529207
121,-2.602526,51.4558161,-2.602526,51.4558162,1549879529234
122,-2.602526,51.4558161,-2.602526,51.4558162,1549879529270
123,-2.602526,51.4558161,-2.602526,51.4558162,1549879529295
124,-2.602526,51.4558161,-2.602526,51.4558162,1549879529321
125,-2.602526,51.4558161,-2.602526,51.4558162,1549879529346
126,-2.602526,51.4558161,-2.602526,51.4558162,1549879529369
127,-2.602526,51.4558161,-2.602526,51.4558162,1549879529392
128,-2.602526,51.4558161,-2.602526,51.4558162,1549879529418
129,-2.602526,51.4558161,-2.602526,51.4558162,1549879529443
130,-2.602526,51.4558161,-2.602526,51.4558162,1549879529481
131,-2.602526,51.4558161,-2.602526,51.4558162,1549879529511
132,-2.602526,51.4558161,-2.602526,51.4558162,1549879529537
133,-2.602526,51.4558161,-2.602526,51.4558162,1549879529581
134,-2.602526,51.4558161,-2.602526,51.4558162,1549879529638
135,-2.602526,51.4558161,-2.602526,51.4558162,1549879529711
136,-2.602526,51.4558161,-2.602526,51.4558162,1549879529759
137,-2.602526,51.4558161,-2.602526,51.4558162,1549879529796
138,-2.602526,51.4558161,-2.602526,51.4558162,1549879529847
139,-2.602526,51.4558161,-2.602526,51.4558162,1549879529894
140,-2.602526,51.4558161,-2.602526,51.4558162,1549879529938
141,-2.602526,51.4558161,-2.602526,51.4558162,1549879529976
142,-2.602526,51.4558161,-2.602526,51.4558162,1549879530018
143,-2.602526,51.4558161,-2.602526,51.4558162,1549879530059
144,-2.602526,51.4558161,-2.602526,51.4558162,1549879530093
145,-2.602526,51.4558161,-2.602526,51.4558162,1549879530135
146,-2.602526,51.4558161,-2.602526,51.4558162,1549879530184
147,-2.602526,51.4558161,-2.602526,51.4558162,1549879530224
148,-2.602526,51.4558161,-2.602526,51.4558162,1549879530273
149,-2.602526,51.4558161,-2.602526,51.4558162,1549879530311
150,-2.602526,51.4558161,-2.602526,51.4558162,1549879530356
151,-2.602526,51.4558161,-2.602526,51.4558162,1549879530394
152,-2.602526,51.4558161,-2.602526,51.4558162,1549879530448
153,-2.602526,51.4558161,-2.602526,51.4558162,1549879530490
154,-2.602526,51.4558161,-2.602526,51.4558162,1549879530527
155,-2.602526,51.4558161,-2.602526,51.4558162,1549879530553
156,-2.602526,51.4558161,-2.602526,51.4558162,1549879530580
157,-2.602526,51.4558161,-2.602526,51.4558162,1549879530613
158,-2.602526,51.4558161,-2.602526,51.4558162,1549879530644
159,-2.602526,51.4558161,-2.602526,51.4558162,1549879530671
160,-2.602526,51.4558161,-2.602526,51.4558162,1549879530701
161,-2.602526,51.4558161,-2.602526,51.4558162,1549879530737
162,-2.602526,51.4558161,-2.602526,51.4558162,1549879530765
163,-2.602526,51.4558161,-2.602526,51.4558162,1549879530797
164,-2.602526,51.4558161,-2.602526,51.4558162,1549879530821
165,-2.602526,51.4558161,-2.602526,51.4558162,1549879530842
166,-2.602526,51.4558161,-2.602526,51.4558162,1549879530861
167,-2.602526,51.4558161,-2.602526,51.4558162,1549879530881
168,-2.602526,51.4558161,-2.602526,51.4558162,1549879530900
169,-2.602526,51.4558161,-2.602526,51.4558162,1549879530930
170,-2.602526,51.4558161,-2.602526,51.4558162,1549879530956
171,-2.602526,51.4558161,-2.602526,51.4558162,1549879530980
172,-2.602526,51.4558161,-2.602526,51.4558162,1549879530999
173,-2.602526,51.4558161,-2.602526,51.4558162,1549879531019
174,-2.602526,51.4558161,-2.602526,51.4558162,1549879531038
175,-2.602526,51.4558161,-2.602526,51.4558162,1549879531057
176,-2.602526,51.4558161,-2.602526,51.4558162,1549879531081
177,-2.602526,51.4558161,-2.602526,51.4558162,1549879531100
178,-2.602526,51.4558161,-2.602526,51.4558162,1549879531119
179,-2.602526,51.4558161,-2.602526,51.4558162,1549879531139
180,-2.602526,51.4558161,-2.602526,51.4558162,1549879531158
181,-2.602526,51.4558161,-2.602526,51.4558162,1549879531178
182,-2.602526,51.4558161,-2.602526,51.4558162,1549879531197
183,-2.602526,51.4558161,-2.602526,51.4558162,1549879531221
184,-2.602526,51.4558161,-2.602526,51.4558162,1549879531240
185,-2.602526,51.4558161,-2.602526,51.4558162,1549879531259
186,-2.602526,51.4558161,-2.602526,51.4558162,1549879531280
187,-2.602526,51.4558161,-2.602526,51.4558162,1549879531302
188,-2.602526,51.4558161,-2.602526,51.4558162,1549879531321
189,-2.602526,51.4558161,-2.602526,51.4558162,1549879531342
190,-2.602526,51.4558161,-2.602526,51.4558162,1549879531364
191,-2.602526,51.4558161,-2.602526,51.4558162,1549879531383
192,-2.602526,51.4558161,-2.602526,51.4558162,1549879531404
193,-2.602526,51.4558161,-2.602526,51.4558162,1549879531426
194,-2.602526,51.4558161,-2.602526,51.4558162,1549879531446
195,-2.602526,51.4558161,-2.602526,51.4558162,1549879531467
196,-2.602526,51.4558161,-2.602526,51.4558162,1549879531490
197,-2.602526,51.4558161,-2.602526,51.4558162,1549879531512
198,-2.602526,51.4558161,-2.602526,51.4558162,1549879531531
199,-2.602526,51.4558161,-2.602526,51.4558162,1549879531552
200,-2.602526,51.4558161,-2.602526,51.4558162,1549879531571
201,-2.602526,51.4558161,-2.602526,51.4558162,1549879531593
202,-2.602526,51.4558161,-2.602526,51.4558162,1549879531615
203,-2.602526,51.4558161,-2.602526,51.4558162,1549879531634
204,-2.602526,51.4558161,-2.602526,51.4558162,1549879531655
205,-2.602526,51.4558161,-2.602526,51.4558162,1549879531676
206,-2.602526,51.4558161,-2.602526,51.4558162,1549879531696
207,-2.602526,51.4558161,-2.602526,51.4558162,1549879531719
208,-2.602526,51.4558161,-2.602526,51.4558162,1549879531740
209,-2.602526,51.4558161,-2.602526,51.4558162,1549879531764
210,-2.602526,51.4558161,-2.602526,51.4558162,1549879531784
211,-2.602526,51.4558161,-2.602526,51.4558162,1549879531805
212,-2.602526,51.4558161,-2.602526,51.4558162,1549879531828
213,-2.602526,51.4558161,-2.602526,51.4558162,1549879531847
214,-2.602526,51.4558161,-2.602526,51.4558162,1549879531873
