rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,RxMAC,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
1549879525540434503,,0,,1549879525,325531167,'',"""4c",0,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525325
1549879525661473005,,1,,1549879525,352301565,'',"""4c",1,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525352
1549879525793139371,,2,,1549879525,378055316,'',"""4c",2,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525378
1549879525904550154,,3,,1549879525,456286815,'',"""4c",3,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525456
1549879526035934263,,4,,1549879525,475211460,'',"""4c",4,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525475
1549879526157339596,,5,,1549879525,521871817,'',"""4c",5,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525521
1549879526288325095,,6,,1549879525,544151479,'',"""4c",6,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525544
1549879526409346195,,7,,1549879525,589654214,'',"""4c",7,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525589
1549879526520347389,,8,,1549879525,632062956,'',"""4c",8,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525632
1549879526651419211,,9,,1549879525,658027961,'',"""4c",9,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525658
1549879526772335995,,10,,1549879525,700243717,'',"""4c",10,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525700
1549879526913426473,,11,,1549879525,724797824,'',"""4c",11,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525724
1549879527024448713,,12,,1549879525,786829267,'',"""4c",12,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525786
1549879527166143618,,13,,1549879525,803991477,'',"""4c",13,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525803
1549879527297754250,,14,,1549879525,843379558,'',"""4c",14,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525843
1549879527419242390,,15,,1549879525,891928352,'',"""4c",15,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525891
1549879527561654965,,16,,1549879525,912847047,'',"""4c",16,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525912
1549879527683184724,,17,,1549879525,986505479,'',"""4c",17,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525986
1549879527804592797,,18,,1549879526,11754186,'',"""4c",18,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526011
1549879527915836912,,19,,1549879526,50791929,'',"""4c",19,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526050
1549879528027101605,,20,,1549879526,83905570,'',"""4c",20,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526083
1549879528158723948,,21,,1549879526,102164345,'',"""4c",21,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526102
1549879528300651355,,22,,1549879526,113879710,'',"""4c",22,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526113
1549879528421972777,,23,,1549879526,167473011,'',"""4c",23,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526167
1549879528563566548,,24,,1549879526,176216739,'',"""4c",24,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526176
1549879528695098273,,25,,1549879526,216874758,'',"""4c",25,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526216
1549879528817015586,,26,,1549879526,269954216,'',"""4c",26,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526269
1549879528958837193,,27,,1549879526,284432071,'',"""4c",27,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526284
1549879529070332656,,28,,1549879526,341394442,'',"""4c",28,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526341
1549879529181580469,,29,,1549879526,379222740,'',"""4c",29,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526379
1549879529303351967,,30,,1549879526,404467563,'',"""4c",30,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526404
1549879529425149892,,31,,1549879526,424684729,'',"""4c",31,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526424
1549879529546773375,,32,,1549879526,455381014,'',"""4c",32,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526455
1549879529688965300,,33,,1549879526,476216968,'',"""4c",33,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526476
1549879529810490116,,34,,1549879526,517982490,'',"""4c",34,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526517
1549879529921831757,,35,,1549879526,563100871,'',"""4c",35,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526563
1549879530053402106,,36,,1549879526,577672647,'',"""4c",36,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526577
1549879530184894922,,37,,1549879526,616945113,'',"""4c",37,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526616
1549879530326578482,,38,,1549879526,636083778,'',"""4c",38,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526636
1549879530458338245,,39,,1549879526,675495034,'',"""4c",39,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526675
1549879530569677190,,40,,1549879526,733919076,'',"""4c",40,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526733
1549879530690779388,,41,,1549879526,759760959,'',"""4c",41,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526759
1549879530802248355,,42,,1549879526,805042377,'',"""4c",42,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526805
1549879530913797070,,43,,1549879526,830656794,'',"""4c",43,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526830
1549879531055798020,,44,,1549879526,822616588,'',"""4c",44,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526822
1549879531167286871,,45,,1549879526,886210809,'',"""4c",45,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526886
1549879531299145872,,46,,1549879526,881030640,'',"""4c",46,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526881
1549879531420661210,,47,,1549879526,929398756,'',"""4c",47,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526929
1549879531542081137,,48,,1549879526,957085734,'',"""4c",48,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526957
1549879531662931516,,49,,1549879526,995546878,'',"""4c",49,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526995
1549879531783626315,,50,,1549879527,20624647,'',"""4c",50,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527020
1608719959972413063,,51,,1549879527,30956304,'',"""4c",51,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527030
1608719960092581987,,52,,1549879527,77912953,'',"""4c",52,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527077
1608719960212626934,,53,,1549879527,105849662,'',"""4c",53,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527105
1608719960342921972,,54,,1549879527,132319521,'',"""4c",54,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527132
1608719960462613105,,55,,1549879527,179297219,'',"""4c",55,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527179
1608719960603019952,,56,,1549879527,181714499,'',"""4c",56,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527181
1608719960722682952,,57,,1549879527,243111908,'',"""4c",57,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527243
1608719960862590074,,58,,1549879527,250251211,'',"""4c",58,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527250
1608719960982800960,,59,,1549879527,308193684,'',"""4c",59,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527308
1608719961112607955,,60,,1549879527,320648249,'',"""4c",60,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527320
1608719961252656936,,61,,1549879527,334951960,'',"""4c",61,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527334
1608719961392613887,,62,,1549879527,362300027,'',"""4c",62,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527362
1608719961522770881,,63,,1549879527,400090552,'',"""4c",63,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527400
1608719961652394056,,64,,1549879527,422966466,'',"""4c",64,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527422
1608719961772398948,,65,,1549879527,466453997,'',"""4c",65,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527466
1608719961902506113,,66,,1549879527,492285153,'',"""4c",66,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527492
1608719962012859106,,67,,1549879527,541888403,'',"""4c",67,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527541
1608719962132520914,,68,,1549879527,559311728,'',"""4c",68,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527559
1608719962262597084,,69,,1549879527,602194831,'',"""4c",69,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527602
1608719962372615098,,70,,1549879527,639082772,'',"""4c",70,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527639
1608719962502609968,,71,,1549879527,646869864,'',"""4c",71,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527646
1608719962612366914,,72,,1549879527,696550232,'',"""4c",72,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527696
1608719962722532987,,73,,1549879527,736554142,'',"""4c",73,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527736
1608719962842643022,,74,,1549879527,757750479,'',"""4c",74,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527757
1608719962982640981,,75,,1549879527,760669253,'',"""4c",75,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527760
1608719963112742900,,76,,1549879527,800152301,'',"""4c",76,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527800
1608719963222767114,,77,,1549879527,840077612,'',"""4c",77,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527840
1608719963332797050,,78,,1549879527,875971931,'',"""4c",78,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527875
1608719963472676992,,79,,1549879527,873838085,'',"""4c",79,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527873
1608719963612627983,,80,,1549879527,908805583,'',"""4c",80,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527908
1608719963752849102,,81,,1549879527,934529499,'',"""4c",81,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527934
1608719963872589111,,82,,1549879527,987702393,'',"""4c",82,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879527987
1608719963992635011,,83,,1549879528,16288866,'',"""4c",83,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528016
1608719964132550954,,84,,1549879528,25155971,'',"""4c",84,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528025
1608719964272608041,,85,,1549879528,50645373,'',"""4c",85,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528050
1608719964382616996,,86,,1549879528,110975752,'',"""4c",86,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528110
1608719964522600889,,87,,1549879528,107036018,'',"""4c",87,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528107
1608719964652606964,,88,,1549879528,158497019,'',"""4c",88,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528158
1608719964772770881,,89,,1549879528,190327446,'',"""4c",89,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528190
1608719964892607927,,90,,1549879528,219337975,'',"""4c",90,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528219
1608719965022603988,,91,,1549879528,234646244,'',"""4c",91,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528234
1608719965162861108,,92,,1549879528,255617921,'',"""4c",92,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528255
1608719965292815923,,93,,1549879528,300942599,'',"""4c",93,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528300
1608719965422596931,,94,,1549879528,325892024,'',"""4c",94,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528325
1608719965532619953,,95,,1549879528,378528244,'',"""4c",95,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528378
1608719965673258066,,96,,1549879528,377072777,'',"""4c",96,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528377
1608719965812601089,,97,,1549879528,416788368,'',"""4c",97,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528416
1608719965922627925,,98,,1549879528,482475656,'',"""4c",98,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528482
1608719966042582035,,99,,1549879528,501789301,'',"""4c",99,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528501
1608719966182657003,,100,,1549879528,515560921,'',"""4c",100,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528515
1608719966322648048,,101,,1549879528,540870388,'',"""4c",101,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528540
1608719966462891101,,102,,1549879528,559949936,'',"""4c",102,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528559
1608719966582793951,,103,,1549879528,612062660,'',"""4c",103,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528612
1608719966722598075,,104,,1549879528,613496561,'',"""4c",104,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528613
1608719966842619895,,105,,1549879528,662694463,'',"""4c",105,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528662
1608719966982752084,,106,,1549879528,677386807,'',"""4c",106,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528677
